Order_ID,Order_Date,Customer_ID,Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Customer_Segment
ORD-03777,2025-01-01,CUST-0815,Furniture,Desk,West,Ahmedabad,7,176.1,0.05,1171.06,997.19,173.87,UPI,Small Business
ORD-03451,2025-01-01,CUST-0670,Office Supplies,Notebook,Central,Nagpur,7,36.04,0.1,227.05,170.12,56.93,Bank Transfer,Small Business
ORD-03201,2025-01-01,CUST-0669,Home & Kitchen,Vacuum Cleaner,North,Delhi,2,170.59,0.05,324.12,249.45,74.67,UPI,Small Business
ORD-00749,2025-01-01,CUST-0396,Office Supplies,Pen Set,North,Chandigarh,1,41.93,0.0,41.93,25.66,16.27,Bank Transfer,Consumer
ORD-04491,2025-01-01,CUST-0472,Furniture,Table,South,Bengaluru,2,284.65,0.05,540.83,373.17,167.66,Debit Card,Corporate
ORD-01098,2025-01-01,CUST-0806,Office Supplies,Printer Paper,East,Bhubaneswar,6,46.48,0.05,264.94,199.19,65.75,Cash,Small Business
ORD-01134,2025-01-01,CUST-0173,Furniture,Desk,South,Bengaluru,3,346.62,0.0,1039.86,680.06,359.8,Credit Card,Consumer
ORD-04215,2025-01-01,CUST-0522,Electronics,Laptop,Central,Bhopal,1,459.71,0.05,436.72,265.89,170.83,Cash,Small Business
ORD-03600,2025-01-01,CUST-0760,Office Supplies,Stapler,West,Ahmedabad,1,47.48,0.05,45.11,33.59,11.52,Bank Transfer,Corporate
ORD-01316,2025-01-01,CUST-0653,Electronics,Monitor,South,Hyderabad,5,406.94,0.1,1831.23,1443.01,388.22,Credit Card,Consumer
ORD-02038,2025-01-02,CUST-0529,Office Supplies,Calculator,East,Guwahati,6,39.62,0.1,213.95,162.85,51.1,Debit Card,Small Business
ORD-03489,2025-01-02,CUST-0648,Clothing,Backpack,South,Bengaluru,5,58.6,0.15,249.05,164.55,84.5,UPI,Small Business
ORD-04771,2025-01-02,CUST-0902,Home & Kitchen,Toaster,North,Jaipur,3,132.07,0.2,316.97,197.6,119.37,Credit Card,Consumer
ORD-04480,2025-01-02,CUST-0528,Electronics,Smartphone,Central,Nagpur,6,392.76,0.05,2238.73,1571.41,667.32,Cash,Corporate
ORD-01898,2025-01-02,CUST-0279,Clothing,T-Shirt,Central,Nagpur,5,45.47,0.15,193.25,136.78,56.47,Cash,Consumer
ORD-01821,2025-01-02,CUST-0798,Electronics,Smartphone,West,Ahmedabad,2,584.62,0.15,993.85,781.52,212.33,Credit Card,Consumer
ORD-04763,2025-01-02,CUST-0842,Office Supplies,Notebook,West,Mumbai,7,28.72,0.0,201.04,150.94,50.1,UPI,Small Business
ORD-01986,2025-01-02,CUST-0840,Electronics,Monitor,West,Ahmedabad,4,464.26,0.05,1764.19,1275.53,488.66,UPI,Corporate
ORD-00285,2025-01-02,CUST-0375,Home & Kitchen,Vacuum Cleaner,West,Ahmedabad,8,120.19,0.0,961.52,641.91,319.61,UPI,Small Business
